area,date,volume
35409.9,2022-05-24,309
30513.02,2022-05-17,257
41094.07,2022-05-27,357
28023.28,2022-04-22,239
37768.92,2022-05-25,331
22862.79,2022-04-24,189
29215.11,2022-05-21,254
23658.76,2022-04-26,206
23605.95,2022-04-25,203
29691.10,2022-04-23,239
34009.12,2022-04-28,309
40614.47,2022-05-14,343
11469.86,2022-05-02,99
52521.53,2022-05-26,464
28774.96,2022-04-27,238
15343.42,2022-05-01,128
30688.54,2022-04-30,259
13481.39,2022-05-03,120
34417.3,2022-04-29,290
13447.18,2022-04-04,117
5230.22,2022-04-05,47
50692.2,2022-04-02,483
22977.66,2022-04-06,219
47312.76,2022-04-07,450
28557.17,2022-04-09,261
16143.17,2022-04-10,140
29929.24,2022-04-12,265
12451.67,2022-05-04,104
22410.38,2022-04-13,200
64254.99,2022-04-16,654
37398.21,2022-04-08,342
19063.48,2022-04-17,173
28172.63,2022-04-03,259
31776.08,2022-03-15,288
48685.52,2022-06-16,428
27021.8,2022-03-16,233
39241.15,2022-04-18,402
47133.02,2022-04-15,476
40113.19,2022-03-19,350
42691.19,2022-03-18,427
35897.47,2022-03-13,317
33099.63,2022-03-17,335
22344.21,2022-03-20,181
21930.07,2022-03-21,216
39588.41,2022-03-22,375
19874.07,2022-02-21,177
15436.59,2022-04-11,137
30938.14,2022-02-22,276
37060.08,2022-03-23,369
50383.3,2022-02-25,445
36819.68,2022-02-24,323
49144.65,2022-02-26,437
30492.94,2022-03-03,268
26131.91,2022-04-14,223
33015.79,2022-03-02,280
28064.19,2022-02-28,240
27974.47,2022-02-27,242
35407.92,2022-02-23,315
19106.48,2022-03-14,173
37938.65,2022-03-01,326
30934.09,2022-03-09,270
31967.16,2022-03-05,275
17631.65,2022-03-06,156
30452.65,2022-03-10,273
33115.1,2022-03-04,281
1625.68,2022-02-03,15
3527.41,2022-02-05,32
44354.85,2022-03-08,403
3629.49,2022-02-06,32
6495.62,2022-02-07,56
14083.07,2022-02-08,122
1950.31,2022-02-02,18
22805.29,2022-03-07,206
26867.37,2022-02-11,229
26742.55,2022-02-12,225
16431.74,2022-02-14,135
46072.11,2022-02-15,389
20563.15,2022-02-10,177
50651.51,2022-02-16,438
54679.63,2022-02-18,498
17999.76,2022-02-09,145
49344.29,2022-02-19,439
25301.82,2022-03-11,230
22507.18,2022-02-20,205
30594.32,2022-03-12,263
41430.82,2022-03-24,365
425.05,2022-02-01,4
1791.35,2022-02-04,17
19326.49,2022-02-17,180
49347.20,2022-01-15,468
25496.57,2022-01-16,233
27555.27,2022-01-17,249
50429.89,2022-01-19,467
92528.35,2022-01-20,985
48544,2022-01-12,405
43005.25,2022-01-22,394
46700.87,2022-01-21,447
70147.13,2022-01-13,506
17837.60,2022-02-13,146
69131.16,2022-01-14,717
127596.85,2021-12-25,1091
19758.5,2022-01-24,168
20506.75,2022-01-23,175
33280.72,2021-12-27,286
37772.59,2022-01-18,347
222677.35,2021-12-31,2090
306857.91,2021-12-23,2967
51636.88,2021-12-26,439
161911.94,2021-12-24,1494
10926.29,2022-01-02,93
44819.88,2022-01-01,392
14158.64,2022-01-03,124
74955.46,2021-12-29,632
34141.8,2022-01-04,293
54681.88,2021-12-28,460
56977.92,2022-01-06,483
42932.67,2022-01-07,374
53074.41,2022-01-25,511
20971.62,2022-01-09,167
64720.68,2021-12-30,547
27656.28,2022-01-10,239
95689.56,2021-12-03,856
64514.43,2021-12-04,594
52290.29,2022-01-05,457
33391.39,2022-01-08,292
69802.37,2021-12-10,626
43668.48,2021-12-06,401
59256.62,2021-12-07,531
42864.03,2022-01-11,367
35236.54,2021-12-12,291
69120.04,2021-12-15,601
70722.20,2021-12-08,672
42787.80,2021-12-05,373
71559.49,2021-12-09,650
84734.78,2021-12-16,742
108416.9,2021-12-17,954
70527.78,2021-12-14,603
46681.7,2021-12-13,384
42387.01,2021-11-18,366
27337.03,2021-11-14,237
49731.96,2021-11-16,433
189269.53,2021-11-19,1884
72212.70,2021-12-11,599
22140.96,2021-10-24,196
47378.19,2021-11-17,417
22094.19,2021-10-25,194
47237.11,2021-10-27,419
39097.71,2021-11-22,348
30346.84,2021-11-15,263
53575.28,2021-11-13,461
60096.97,2021-10-30,509
48128.69,2021-10-29,427
55573.32,2021-10-28,482
42480.37,2021-10-26,370
39076.97,2021-11-21,341
22915.05,2021-11-01,229
65202.37,2021-11-03,596
46649.79,2021-11-02,426
6260.80,2021-10-05,53
7887.05,2021-10-06,66
11056.59,2021-10-07,100
24946.50,2021-10-31,211
51865.67,2021-11-20,462
47213.59,2021-10-10,416
60394.31,2021-10-14,515
181856.21,2021-10-12,1731
51278.70,2021-10-16,451
19400.57,2021-10-08,175
53110.95,2021-10-11,452
26029.47,2021-10-18,227
25171.25,2021-10-17,219
4927.79,2021-10-04,47
47951.37,2021-10-19,435
52296.96,2021-10-22,464
67133.65,2021-10-21,607
47190.04,2021-10-09,423
58424.6,2021-10-13,510
55426.89,2021-10-20,487
114818.69,2021-09-16,818
238487.2,2021-09-15,1885
72748.70,2021-09-14,637
43412.47,2021-11-04,391
37924.13,2021-09-19,333
19378.33,2021-09-22,173
16421.16,2021-09-20,143
64819.1,2021-10-15,574
11824.16,2021-09-21,107
40859.29,2021-09-25,352
43904.43,2021-09-26,377
48924.38,2021-09-18,429
57456.09,2021-09-24,508
38585.79,2021-10-01,342
47666.97,2021-09-23,426
68750.17,2021-09-29,597
49705.91,2021-09-27,428
11863.40,2021-10-02,102
7450.75,2021-10-03,67
48879.16,2021-09-17,399
47211.63,2021-10-23,418
48545.04,2021-08-26,415
51390.97,2021-08-28,460
46411.99,2021-08-25,406
28476.25,2021-08-29,247
92890.34,2021-08-31,837
74896.3,2021-09-30,659
28277.95,2021-09-05,241
38160.62,2021-08-30,342
62358.96,2021-09-03,522
29795.19,2021-09-06,252
90463.84,2021-09-01,825
48100.28,2021-09-07,415
52007.98,2021-08-27,453
55410.69,2021-09-09,490
50746.65,2021-09-10,450
54347.83,2021-09-04,448
24138.38,2021-09-12,224
60553.85,2021-09-28,536
79747.82,2021-09-02,697
52334.89,2021-08-06,446
42126.34,2021-08-07,358
56374.09,2021-09-08,492
29848.14,2021-08-08,253
40044.02,2021-08-10,353
50791.36,2021-08-05,429
41593.84,2021-09-11,374
24237.06,2021-08-09,217
18084.39,2021-08-15,156
32074.61,2021-08-13,286
34798.87,2021-08-17,291
46230.17,2021-08-19,406
39411.22,2021-08-12,335
21453.20,2021-08-22,181
22242.07,2021-08-23,190
32436.95,2021-08-24,284
47084.31,2021-08-20,414
66700.74,2021-07-16,572
36406.30,2021-08-14,320
38924.85,2021-08-11,331
50801.94,2021-07-20,427
74952.87,2021-07-22,644
66499.14,2021-07-23,587
61518,2021-07-24,535
25421.3,2021-07-18,208
41865.08,2021-08-18,372
45606.32,2021-08-21,376
70445.34,2021-07-21,597
59379.27,2021-07-27,507
65247.76,2021-07-28,557
32398.01,2021-07-19,272
60330.51,2021-07-29,529
35872.84,2021-07-26,307
33410.68,2021-07-25,294
156567.33,2021-06-26,1284
89438.42,2021-06-28,738
192224.7,2021-06-30,1580
71732.95,2021-07-01,584
126024.96,2021-06-27,1059
77190.44,2021-07-02,644
20485.65,2021-08-16,177
43525.56,2021-07-04,370
71863.47,2021-07-03,631
162075.71,2021-06-29,1358
55802.78,2021-07-17,481
71749.94,2021-07-06,637
75211.95,2021-07-10,660
40120.18,2021-07-12,334
41532.91,2021-07-05,351
85845.79,2021-07-09,744
64178.04,2021-07-13,547
68864.84,2021-07-14,578
58191.74,2021-07-30,479
64307.01,2021-07-08,562
64473.11,2021-07-31,560
81407.23,2021-07-07,703
70228.59,2021-08-03,613
54036.19,2021-08-04,473
46020.94,2021-08-02,398
31834.74,2021-09-13,266
75871.31,2021-07-15,694
41818.09,2021-11-05,380
19108.66,2021-11-07,171
33556.75,2021-11-09,310
108787.61,2021-11-10,919
49519.90,2021-11-23,450
20649.2,2021-11-08,182
54180.71,2021-11-12,460
55300.18,2021-11-24,492
41193.74,2021-11-29,384
36251.87,2021-11-28,311
183657.75,2021-11-27,1812
67457.74,2021-11-30,589
65512.8,2021-12-01,592
56241.45,2021-11-25,502
67324.01,2021-11-26,606
112810.52,2021-12-02,963
43761.12,2021-11-06,400
80381.36,2021-06-09,669
56151.35,2021-06-07,470
63708.46,2021-06-10,555
73362.19,2021-06-08,602
83540.88,2021-06-12,672
35486.09,2021-06-13,297
96690.16,2021-11-11,812
85812.28,2021-06-16,757
85977.18,2021-05-18,712
29197.32,2021-06-14,250
79668.21,2021-06-11,755
86455.98,2021-06-17,738
47710.72,2021-06-06,405
45200.10,2021-05-23,383
83130.79,2021-05-21,706
77588.21,2021-05-22,659
83943.88,2021-05-25,701
48633.01,2021-05-24,423
32881.41,2021-06-15,280
93956.36,2021-05-26,812
107715.61,2021-05-27,929
51341.55,2021-05-17,435
107392.5,2021-05-19,900
95316.18,2021-04-27,816
95183.75,2021-04-28,811
86918.88,2021-05-20,735
30431.61,2021-05-02,270
92193.81,2021-04-29,783
91559.84,2021-05-08,775
19947.26,2021-05-04,175
95664.22,2021-04-30,806
42026.3,2021-05-06,374
84652.71,2021-05-10,744
101135.69,2021-05-11,871
19319.78,2021-05-05,173
78258.49,2021-05-01,687
95962.58,2021-05-13,837
108634.69,2021-05-12,935
83941.91,2021-04-08,718
99397.35,2021-05-14,828
82086.4,2021-04-09,708
45285.49,2021-04-11,383
84267.98,2021-04-14,732
86497.5,2021-04-13,732
88249.18,2021-04-15,772
83496.86,2021-04-07,705
87665.08,2021-04-10,770
110239.39,2021-04-16,951
109931.43,2021-05-09,945
56637.07,2021-04-19,494
52971.24,2021-04-18,454
86964.27,2021-04-20,731
80567.37,2021-03-18,664
46777.83,2021-04-12,411
43572.95,2021-03-21,371
78008.73,2021-03-23,677
59935.95,2021-03-20,519
48268.45,2021-03-22,423
86794.18,2021-03-25,765
18607.62,2021-05-03,160
49621.88,2021-03-28,437
68378.13,2021-04-17,594
65598.16,2021-03-19,554
106232.21,2021-03-26,934
81065.7,2021-05-07,696
77770.31,2021-03-24,677
94682.44,2021-03-30,823
100500.41,2021-03-31,845
39402.12,2021-02-28,346
54078.34,2021-02-27,472
62236.41,2021-03-04,533
56986.07,2021-02-26,490
56099.26,2021-03-29,483
44189.73,2021-03-01,392
57192.29,2021-03-06,490
68458.47,2021-03-03,590
74866.06,2021-03-02,644
29645.16,2021-03-07,258
87406.92,2021-03-27,777
55033.85,2021-03-09,477
35788.93,2021-03-08,309
